/opt/python/3.10/lib/python3.10/site-packages/torch/functional.py:513: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3609.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/qitongluan/neural_seq_decoder/src/neural_decoder/augmentations.py:91: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at ../aten/src/ATen/native/Convolution.cpp:1031.)
  return self.conv(input, weight=self.weight, groups=self.groups, padding="same")
/home/qitongluan/neural_seq_decoder/src/neural_decoder/neural_decoder_trainer_AdamW.py:183: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  torch.tensor(pred[iterIdx, 0 : adjustedLens[iterIdx], :]),
/home/qitongluan/neural_seq_decoder
batch 0, ctc loss: 5.966355, cer: 0.959886, time/batch:   0.115
batch 100, ctc loss: 2.739137, cer: 0.826256, time/batch:   3.223
batch 200, ctc loss: 2.343406, cer: 0.693822, time/batch:   3.366
batch 300, ctc loss: 2.127102, cer: 0.596632, time/batch:   3.290
batch 400, ctc loss: 1.968124, cer: 0.554084, time/batch:   3.402
batch 500, ctc loss: 1.857215, cer: 0.514919, time/batch:   3.434
batch 600, ctc loss: 1.762155, cer: 0.479510, time/batch:   3.369
batch 700, ctc loss: 1.675002, cer: 0.467335, time/batch:   3.362
batch 800, ctc loss: 1.602215, cer: 0.450002, time/batch:   3.449
batch 900, ctc loss: 1.526795, cer: 0.424621, time/batch:   3.405
batch 1000, ctc loss: 1.477512, cer: 0.414056, time/batch:   3.382
batch 1100, ctc loss: 1.414691, cer: 0.399571, time/batch:   3.367
batch 1200, ctc loss: 1.371529, cer: 0.385663, time/batch:   3.335
batch 1300, ctc loss: 1.323863, cer: 0.371012, time/batch:   3.412
batch 1400, ctc loss: 1.280994, cer: 0.356774, time/batch:   3.331
batch 1500, ctc loss: 1.251852, cer: 0.347819, time/batch:   3.428
batch 1600, ctc loss: 1.219095, cer: 0.343775, time/batch:   3.375
batch 1700, ctc loss: 1.196905, cer: 0.332549, time/batch:   3.474
batch 1800, ctc loss: 1.163104, cer: 0.326937, time/batch:   3.409
batch 1900, ctc loss: 1.136395, cer: 0.316619, time/batch:   3.406
batch 2000, ctc loss: 1.127615, cer: 0.317403, time/batch:   3.364
batch 2100, ctc loss: 1.100571, cer: 0.308902, time/batch:   3.468
batch 2200, ctc loss: 1.080712, cer: 0.305270, time/batch:   3.403
batch 2300, ctc loss: 1.062714, cer: 0.297635, time/batch:   3.404
batch 2400, ctc loss: 1.058703, cer: 0.299616, time/batch:   3.400
batch 2500, ctc loss: 1.044537, cer: 0.292105, time/batch:   3.387
batch 2600, ctc loss: 1.029313, cer: 0.289051, time/batch:   3.383
batch 2700, ctc loss: 1.018594, cer: 0.283686, time/batch:   3.383
batch 2800, ctc loss: 1.000845, cer: 0.280632, time/batch:   3.367
batch 2900, ctc loss: 0.989669, cer: 0.280550, time/batch:   3.400
batch 3000, ctc loss: 0.978775, cer: 0.276299, time/batch:   3.475
batch 3100, ctc loss: 0.972297, cer: 0.273699, time/batch:   3.327
batch 3200, ctc loss: 0.967741, cer: 0.271388, time/batch:   3.392
batch 3300, ctc loss: 0.950219, cer: 0.266766, time/batch:   3.371
batch 3400, ctc loss: 0.947297, cer: 0.264331, time/batch:   3.396
batch 3500, ctc loss: 0.933085, cer: 0.259255, time/batch:   3.325
batch 3600, ctc loss: 0.920604, cer: 0.258512, time/batch:   3.421
batch 3700, ctc loss: 0.926504, cer: 0.259337, time/batch:   3.375
batch 3800, ctc loss: 0.915640, cer: 0.252693, time/batch:   3.371
batch 3900, ctc loss: 0.906154, cer: 0.251372, time/batch:   3.409
batch 4000, ctc loss: 0.904037, cer: 0.250299, time/batch:   3.422
batch 4100, ctc loss: 0.893465, cer: 0.248855, time/batch:   3.421
batch 4200, ctc loss: 0.899343, cer: 0.247204, time/batch:   3.452
batch 4300, ctc loss: 0.885804, cer: 0.246255, time/batch:   3.475
batch 4400, ctc loss: 0.882150, cer: 0.245594, time/batch:   3.476
batch 4500, ctc loss: 0.889030, cer: 0.245182, time/batch:   3.392
batch 4600, ctc loss: 0.887632, cer: 0.242252, time/batch:   3.358
batch 4700, ctc loss: 0.881930, cer: 0.240683, time/batch:   3.403
batch 4800, ctc loss: 0.867311, cer: 0.239487, time/batch:   3.290
batch 4900, ctc loss: 0.866506, cer: 0.236020, time/batch:   3.402
batch 5000, ctc loss: 0.870025, cer: 0.237671, time/batch:   3.469
batch 5100, ctc loss: 0.862563, cer: 0.235318, time/batch:   3.397
batch 5200, ctc loss: 0.866901, cer: 0.234452, time/batch:   3.374
batch 5300, ctc loss: 0.866388, cer: 0.233255, time/batch:   3.386
batch 5400, ctc loss: 0.862946, cer: 0.231976, time/batch:   3.457
batch 5500, ctc loss: 0.860529, cer: 0.233420, time/batch:   3.436
batch 5600, ctc loss: 0.846179, cer: 0.227684, time/batch:   3.380
batch 5700, ctc loss: 0.845090, cer: 0.226693, time/batch:   3.476
batch 5800, ctc loss: 0.845235, cer: 0.228138, time/batch:   3.470
batch 5900, ctc loss: 0.840361, cer: 0.229623, time/batch:   3.423
batch 6000, ctc loss: 0.852232, cer: 0.229995, time/batch:   3.383
batch 6100, ctc loss: 0.853667, cer: 0.227684, time/batch:   3.214
batch 6200, ctc loss: 0.847297, cer: 0.227065, time/batch:   3.326
batch 6300, ctc loss: 0.851757, cer: 0.225207, time/batch:   3.410
batch 6400, ctc loss: 0.854584, cer: 0.221080, time/batch:   3.490
batch 6500, ctc loss: 0.849833, cer: 0.222607, time/batch:   3.344
batch 6600, ctc loss: 0.843228, cer: 0.222484, time/batch:   3.404
batch 6700, ctc loss: 0.846220, cer: 0.222195, time/batch:   3.366
batch 6800, ctc loss: 0.829894, cer: 0.219141, time/batch:   3.294
batch 6900, ctc loss: 0.837102, cer: 0.219925, time/batch:   3.413
batch 7000, ctc loss: 0.835727, cer: 0.220214, time/batch:   3.337
batch 7100, ctc loss: 0.844086, cer: 0.222277, time/batch:   3.435
batch 7200, ctc loss: 0.836773, cer: 0.218852, time/batch:   3.343
batch 7300, ctc loss: 0.832707, cer: 0.218604, time/batch:   3.322
batch 7400, ctc loss: 0.841103, cer: 0.215138, time/batch:   3.374
batch 7500, ctc loss: 0.833973, cer: 0.217696, time/batch:   3.512
batch 7600, ctc loss: 0.833907, cer: 0.215179, time/batch:   3.438
batch 7700, ctc loss: 0.831016, cer: 0.215096, time/batch:   3.387
batch 7800, ctc loss: 0.833150, cer: 0.214890, time/batch:   3.436
batch 7900, ctc loss: 0.837457, cer: 0.214477, time/batch:   3.335
batch 8000, ctc loss: 0.839931, cer: 0.215509, time/batch:   3.401
batch 8100, ctc loss: 0.834775, cer: 0.213900, time/batch:   3.406
batch 8200, ctc loss: 0.832369, cer: 0.212042, time/batch:   3.441
batch 8300, ctc loss: 0.829546, cer: 0.211588, time/batch:   3.463
batch 8400, ctc loss: 0.826496, cer: 0.212290, time/batch:   3.446
batch 8500, ctc loss: 0.821890, cer: 0.211919, time/batch:   3.461
batch 8600, ctc loss: 0.830954, cer: 0.209525, time/batch:   3.415
batch 8700, ctc loss: 0.832143, cer: 0.210474, time/batch:   3.366
batch 8800, ctc loss: 0.839722, cer: 0.209896, time/batch:   3.352
batch 8900, ctc loss: 0.837214, cer: 0.208906, time/batch:   3.361
batch 9000, ctc loss: 0.834462, cer: 0.209401, time/batch:   3.240
batch 9100, ctc loss: 0.831747, cer: 0.209154, time/batch:   3.511
batch 9200, ctc loss: 0.843029, cer: 0.208658, time/batch:   3.461
batch 9300, ctc loss: 0.842914, cer: 0.209814, time/batch:   3.382
batch 9400, ctc loss: 0.839666, cer: 0.208163, time/batch:   3.325
batch 9500, ctc loss: 0.832331, cer: 0.207255, time/batch:   3.385
batch 9600, ctc loss: 0.841137, cer: 0.206966, time/batch:   3.441
batch 9700, ctc loss: 0.844404, cer: 0.207585, time/batch:   3.392
batch 9800, ctc loss: 0.846293, cer: 0.205687, time/batch:   3.298
batch 9900, ctc loss: 0.845188, cer: 0.205976, time/batch:   3.379
