
Dataset Path: /content/colab143/competitionData/ptDecoder_ctc
Successfully imported trainModel
batch 0, ctc loss: 3.833197, cer: 0.951715, time/batch:   0.014
batch 100, ctc loss: 2.796024, cer: 0.706615, time/batch:   0.183
batch 200, ctc loss: 2.357647, cer: 0.638315, time/batch:   0.193
batch 300, ctc loss: 1.968661, cer: 0.553258, time/batch:   0.190
batch 400, ctc loss: 1.678521, cer: 0.470183, time/batch:   0.197
batch 500, ctc loss: 1.538056, cer: 0.436342, time/batch:   0.200
batch 600, ctc loss: 1.396376, cer: 0.401717, time/batch:   0.195
batch 700, ctc loss: 1.308656, cer: 0.378317, time/batch:   0.195
batch 800, ctc loss: 1.259133, cer: 0.357889, time/batch:   0.200
batch 900, ctc loss: 1.184627, cer: 0.340762, time/batch:   0.197
batch 1000, ctc loss: 1.161576, cer: 0.333663, time/batch:   0.197
batch 1100, ctc loss: 1.100662, cer: 0.316991, time/batch:   0.195
batch 1200, ctc loss: 1.057447, cer: 0.304651, time/batch:   0.194
batch 1300, ctc loss: 1.048209, cer: 0.296851, time/batch:   0.198
batch 1400, ctc loss: 0.981594, cer: 0.282366, time/batch:   0.194
batch 1500, ctc loss: 0.980624, cer: 0.279270, time/batch:   0.199
batch 1600, ctc loss: 0.964146, cer: 0.272378, time/batch:   0.197
batch 1700, ctc loss: 0.952788, cer: 0.266848, time/batch:   0.202
batch 1800, ctc loss: 0.925953, cer: 0.261524, time/batch:   0.199
batch 1900, ctc loss: 0.915622, cer: 0.254880, time/batch:   0.199
batch 2000, ctc loss: 0.907782, cer: 0.255252, time/batch:   0.196
batch 2100, ctc loss: 0.897720, cer: 0.252321, time/batch:   0.191
batch 2200, ctc loss: 0.891716, cer: 0.245718, time/batch:   0.198
batch 2300, ctc loss: 0.884759, cer: 0.246296, time/batch:   0.197
batch 2400, ctc loss: 0.873674, cer: 0.240518, time/batch:   0.185
batch 2500, ctc loss: 0.850833, cer: 0.235030, time/batch:   0.198
batch 2600, ctc loss: 0.855051, cer: 0.233544, time/batch:   0.197
batch 2700, ctc loss: 0.863674, cer: 0.234204, time/batch:   0.197
batch 2800, ctc loss: 0.844750, cer: 0.226198, time/batch:   0.185
batch 2900, ctc loss: 0.857941, cer: 0.228715, time/batch:   0.198
batch 3000, ctc loss: 0.848698, cer: 0.224341, time/batch:   0.189
batch 3100, ctc loss: 0.837794, cer: 0.222236, time/batch:   0.195
batch 3200, ctc loss: 0.847408, cer: 0.219677, time/batch:   0.197
batch 3300, ctc loss: 0.840279, cer: 0.219471, time/batch:   0.196
batch 3400, ctc loss: 0.848026, cer: 0.217407, time/batch:   0.198
batch 3500, ctc loss: 0.834999, cer: 0.214519, time/batch:   0.193
batch 3600, ctc loss: 0.834055, cer: 0.214725, time/batch:   0.199
batch 3700, ctc loss: 0.836762, cer: 0.210887, time/batch:   0.185
batch 3800, ctc loss: 0.835882, cer: 0.210309, time/batch:   0.198
batch 3900, ctc loss: 0.846754, cer: 0.210598, time/batch:   0.198
batch 4000, ctc loss: 0.831501, cer: 0.208411, time/batch:   0.187
batch 4100, ctc loss: 0.823657, cer: 0.205150, time/batch:   0.199
batch 4200, ctc loss: 0.816081, cer: 0.202881, time/batch:   0.201
batch 4300, ctc loss: 0.822954, cer: 0.205481, time/batch:   0.200
batch 4400, ctc loss: 0.816946, cer: 0.202138, time/batch:   0.190
batch 4500, ctc loss: 0.819099, cer: 0.201766, time/batch:   0.197
batch 4600, ctc loss: 0.816238, cer: 0.202138, time/batch:   0.196
batch 4700, ctc loss: 0.823354, cer: 0.201271, time/batch:   0.185
batch 4800, ctc loss: 0.817442, cer: 0.201601, time/batch:   0.191
batch 4900, ctc loss: 0.815740, cer: 0.200033, time/batch:   0.186"
