/opt/python/3.10/lib/python3.10/site-packages/hydra/_internal/hydra.py:119: UserWarning: Future Hydra versions will no longer change working directory at job runtime by default.
See https://hydra.cc/docs/1.2/upgrades/1.1_to_1.2/changes_to_job_working_dir/ for more information.
  ret = run_job(
/opt/python/3.10/lib/python3.10/site-packages/torch/functional.py:513: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3609.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
/home/qitongluan/neural_seq_decoder/src/neural_decoder/augmentations.py:91: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at ../aten/src/ATen/native/Convolution.cpp:1031.)
  return self.conv(input, weight=self.weight, groups=self.groups, padding="same")
/home/qitongluan/neural_seq_decoder/src/neural_decoder/./neural_decoder_trainer.py:183: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  torch.tensor(pred[iterIdx, 0 : adjustedLens[iterIdx], :]),
batch 0, ctc loss: 6.021260, cer: 0.996327, time/batch:   0.084
batch 100, ctc loss: 2.540195, cer: 0.758656, time/batch:   2.188
batch 200, ctc loss: 2.123437, cer: 0.605753, time/batch:   2.321
batch 300, ctc loss: 1.926751, cer: 0.529404, time/batch:   2.291
batch 400, ctc loss: 1.789968, cer: 0.494779, time/batch:   2.287
batch 500, ctc loss: 1.683690, cer: 0.455078, time/batch:   2.237
batch 600, ctc loss: 1.585733, cer: 0.441583, time/batch:   2.274
batch 700, ctc loss: 1.509671, cer: 0.410095, time/batch:   2.379
batch 800, ctc loss: 1.458517, cer: 0.396806, time/batch:   2.261
batch 900, ctc loss: 1.385813, cer: 0.376212, time/batch:   2.323
batch 1000, ctc loss: 1.324951, cer: 0.362470, time/batch:   2.256
batch 1100, ctc loss: 1.294995, cer: 0.351946, time/batch:   2.242
batch 1200, ctc loss: 1.262018, cer: 0.343857, time/batch:   2.235
batch 1300, ctc loss: 1.230399, cer: 0.336305, time/batch:   2.241
batch 1400, ctc loss: 1.203308, cer: 0.329784, time/batch:   2.240
batch 1500, ctc loss: 1.148064, cer: 0.317568, time/batch:   2.264
batch 1600, ctc loss: 1.135258, cer: 0.314432, time/batch:   2.357
batch 1700, ctc loss: 1.115100, cer: 0.309727, time/batch:   2.281
batch 1800, ctc loss: 1.084180, cer: 0.301391, time/batch:   2.243
batch 1900, ctc loss: 1.072413, cer: 0.297594, time/batch:   2.319
batch 2000, ctc loss: 1.047668, cer: 0.290496, time/batch:   2.206
batch 2100, ctc loss: 1.035139, cer: 0.282489, time/batch:   2.308
batch 2200, ctc loss: 1.023777, cer: 0.282407, time/batch:   2.263
batch 2300, ctc loss: 1.004603, cer: 0.277124, time/batch:   2.248
batch 2400, ctc loss: 1.008166, cer: 0.276588, time/batch:   2.289
batch 2500, ctc loss: 0.971023, cer: 0.269531, time/batch:   2.221
batch 2600, ctc loss: 0.965451, cer: 0.269778, time/batch:   2.184
batch 2700, ctc loss: 0.955390, cer: 0.267343, time/batch:   2.389
batch 2800, ctc loss: 0.954550, cer: 0.265156, time/batch:   2.386
batch 2900, ctc loss: 0.938216, cer: 0.260286, time/batch:   2.339
batch 3000, ctc loss: 0.942763, cer: 0.259213, time/batch:   2.327
batch 3100, ctc loss: 0.927366, cer: 0.254715, time/batch:   2.402
batch 3200, ctc loss: 0.927654, cer: 0.255829, time/batch:   2.282
batch 3300, ctc loss: 0.916646, cer: 0.253807, time/batch:   2.344
batch 3400, ctc loss: 0.909882, cer: 0.250629, time/batch:   2.270
batch 3500, ctc loss: 0.916196, cer: 0.248855, time/batch:   2.287
batch 3600, ctc loss: 0.901975, cer: 0.245429, time/batch:   2.275
batch 3700, ctc loss: 0.904445, cer: 0.248112, time/batch:   2.298
batch 3800, ctc loss: 0.911938, cer: 0.245099, time/batch:   2.280
batch 3900, ctc loss: 0.897894, cer: 0.242829, time/batch:   2.339
batch 4000, ctc loss: 0.897329, cer: 0.244315, time/batch:   2.341
batch 4100, ctc loss: 0.887747, cer: 0.240064, time/batch:   2.331
batch 4200, ctc loss: 0.878297, cer: 0.239487, time/batch:   2.292
batch 4300, ctc loss: 0.887849, cer: 0.236144, time/batch:   2.327
batch 4400, ctc loss: 0.884639, cer: 0.234864, time/batch:   2.267
batch 4500, ctc loss: 0.885029, cer: 0.236680, time/batch:   2.261
batch 4600, ctc loss: 0.872733, cer: 0.235112, time/batch:   2.244
batch 4700, ctc loss: 0.870611, cer: 0.233420, time/batch:   2.338
batch 4800, ctc loss: 0.889772, cer: 0.230861, time/batch:   2.329
batch 4900, ctc loss: 0.877592, cer: 0.232925, time/batch:   2.290
batch 5000, ctc loss: 0.877722, cer: 0.230242, time/batch:   2.322
batch 5100, ctc loss: 0.877356, cer: 0.230366, time/batch:   2.358
batch 5200, ctc loss: 0.873296, cer: 0.228179, time/batch:   2.311
batch 5300, ctc loss: 0.864987, cer: 0.227725, time/batch:   2.277
batch 5400, ctc loss: 0.868589, cer: 0.225538, time/batch:   2.358
batch 5500, ctc loss: 0.871601, cer: 0.224547, time/batch:   2.310
batch 5600, ctc loss: 0.882462, cer: 0.230407, time/batch:   2.296
batch 5700, ctc loss: 0.869086, cer: 0.225950, time/batch:   2.302
batch 5800, ctc loss: 0.869114, cer: 0.224506, time/batch:   2.227
batch 5900, ctc loss: 0.883624, cer: 0.225991, time/batch:   2.274
batch 6000, ctc loss: 0.871050, cer: 0.222938, time/batch:   2.318
batch 6100, ctc loss: 0.879374, cer: 0.224258, time/batch:   2.294
batch 6200, ctc loss: 0.865715, cer: 0.223144, time/batch:   2.268
batch 6300, ctc loss: 0.880792, cer: 0.222236, time/batch:   2.260
batch 6400, ctc loss: 0.871506, cer: 0.221782, time/batch:   2.257
batch 6500, ctc loss: 0.892582, cer: 0.222277, time/batch:   2.283
batch 6600, ctc loss: 0.877925, cer: 0.218480, time/batch:   2.280
batch 6700, ctc loss: 0.878628, cer: 0.221493, time/batch:   2.374
batch 6800, ctc loss: 0.884178, cer: 0.219636, time/batch:   2.260
batch 6900, ctc loss: 0.884797, cer: 0.216665, time/batch:   2.248
batch 7000, ctc loss: 0.885537, cer: 0.218934, time/batch:   2.333
batch 7100, ctc loss: 0.889190, cer: 0.220668, time/batch:   2.286
batch 7200, ctc loss: 0.890139, cer: 0.218604, time/batch:   2.252
batch 7300, ctc loss: 0.905227, cer: 0.219141, time/batch:   2.314
batch 7400, ctc loss: 0.884853, cer: 0.218150, time/batch:   2.297
batch 7500, ctc loss: 0.897654, cer: 0.216376, time/batch:   2.317
batch 7600, ctc loss: 0.899601, cer: 0.216747, time/batch:   2.361
batch 7700, ctc loss: 0.882937, cer: 0.213982, time/batch:   2.304
batch 7800, ctc loss: 0.904913, cer: 0.216747, time/batch:   2.363
batch 7900, ctc loss: 0.898656, cer: 0.216582, time/batch:   2.271
batch 8000, ctc loss: 0.912842, cer: 0.217779, time/batch:   2.351
batch 8100, ctc loss: 0.901583, cer: 0.213941, time/batch:   2.282
batch 8200, ctc loss: 0.904512, cer: 0.214354, time/batch:   2.370
batch 8300, ctc loss: 0.910112, cer: 0.212290, time/batch:   2.332
batch 8400, ctc loss: 0.902298, cer: 0.214312, time/batch:   2.336
batch 8500, ctc loss: 0.904731, cer: 0.213941, time/batch:   2.299
batch 8600, ctc loss: 0.919422, cer: 0.213817, time/batch:   2.264
batch 8700, ctc loss: 0.905738, cer: 0.209154, time/batch:   2.283
batch 8800, ctc loss: 0.888088, cer: 0.208039, time/batch:   2.401
batch 8900, ctc loss: 0.915753, cer: 0.213198, time/batch:   2.305
batch 9000, ctc loss: 0.924726, cer: 0.213157, time/batch:   2.237
batch 9100, ctc loss: 0.907099, cer: 0.211877, time/batch:   2.286
batch 9200, ctc loss: 0.933267, cer: 0.211630, time/batch:   2.386
batch 9300, ctc loss: 0.927585, cer: 0.213652, time/batch:   2.312
batch 9400, ctc loss: 0.921848, cer: 0.210474, time/batch:   2.248
batch 9500, ctc loss: 0.913153, cer: 0.212827, time/batch:   2.296
batch 9600, ctc loss: 0.922308, cer: 0.212455, time/batch:   2.293
batch 9700, ctc loss: 0.932655, cer: 0.210557, time/batch:   2.283
batch 9800, ctc loss: 0.941262, cer: 0.209731, time/batch:   2.295
batch 9900, ctc loss: 0.929344, cer: 0.210350, time/batch:   2.184
